Block,City,Zip,CrimeCode,CrimeDescription,AgencyId,Location 1
1000 VIA HONDA,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.66986993, -122.12991469)"
1000 VIA HONDA,SAN LORENZO,94580,13A,FORCE OR ADW NOT FIREARM:GBI LIKELY,ACSO,"(37.66986993, -122.12991469)"
100 BLOSSOM WY,HAYWARD,94541,13A,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,ACSO,"(37.6771178, -122.10774943)"
100 BLOSSOM WY,HAYWARD,94541,13A,ATTEMPT MURDER,ACSO,"(37.6771178, -122.10774943)"
100 BLOSSOM WY,HAYWARD,94541,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.67715589, -122.10763327)"
100 CHERRY WY,HAYWARD,94541,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.67879136, -122.10862443)"
100 CHERRY WY,HAYWARD,94541,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.6787445, -122.10876818)"
100 E LEWELLING BL,SAN LORENZO,94580,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.68670231, -122.12014394)"
100 E LEWELLING BL,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.68670231, -122.12014394)"
100 E LEWELLING BL,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.6867026, -122.12011903)"
100 E LEWELLING BL,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.68666635, -122.11938729)"
100 GROVE WY,HAYWARD,94541,13B,BATTERY ON PERSON,ACSO,"(37.67572826, -122.10591329)"
100 GROVE WY,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.67562235, -122.10614307)"
100 GROVE WY,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.67555053, -122.10636145)"
100 HAMPTON RD,HAYWARD,94541,13A,ASSAULT WITH FIREARM ON PERSON,ACSO,"(37.68374594, -122.11394596)"
100 HAMPTON RD,HAYWARD,94541,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.68379292, -122.11368383)"
100 HAMPTON RD,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.68374594, -122.11394596)"
100 LAUREL AV,HAYWARD,94541,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.67009683, -122.09983105)"
100 LAUREL AV,HAYWARD,94541,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.67009683, -122.09983105)"
100 LEWELLING BL,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.68666082, -122.12615575)"
100 LOMA VERDE DR,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.68518199, -122.1189121)"
100 LOMA VERDE DR,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.68518199, -122.1189121)"
100 MEDFORD AV,HAYWARD,94541,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.68035738, -122.11033146)"
100 MEDFORD AV,HAYWARD,94541,13A,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,ACSO,"(37.68027135, -122.11068739)"
100 MEDFORD AV,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.6803993, -122.11020334)"
100 MEDFORD AV,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.68035738, -122.11033146)"
100 MEDFORD AV,HAYWARD,94541,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.68035738, -122.11033146)"
100 MERO ST,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.67200663, -122.10886467)"
100 POPLAR AV,HAYWARD,94541,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.67088964, -122.10162073)"
100 POPLAR AV,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.67088964, -122.10162073)"
100 SMALLEY AV,HAYWARD,94541,13B,BATTERY ON PERSON,ACSO,"(37.66873687, -122.0985668)"
100 SMALLEY AV,HAYWARD,94541,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.66873687, -122.0985668)"
100 SMALLEY AV,HAYWARD,94541,11D,LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS,ACSO,"(37.66873687, -122.0985668)"
100 SUNSET BL,HAYWARD,94541,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.67215278, -122.10257078)"
100 SUNSET BL,HAYWARD,94541,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.67214404, -122.10259225)"
100 SUNSET BL,HAYWARD,94541,13B,BATTERY ON PERSON,ACSO,"(37.67204725, -122.10282796)"
100 SUNSET BL,HAYWARD,94541,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.67215278, -122.10257078)"
100 SUNSET BL,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.67215278, -122.10257078)"
100 SUNSET BL,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.67195915, -122.10304216)"
100 VIA BOLSA,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.67957458, -122.12024559)"
100 VIA SAN CARLOS,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.68269192, -122.12304829)"
100 WILLOW AV,HAYWARD,94541,13A,EXHIBIT FIREARM,ACSO,"(37.6736831, -122.10407585)"
10200 CROW CANYON RD,CASTRO VALLEY,94552,11D,ANNOY/ETC CHILD UNDER 18,ACSO,"(37.75772361, -122.02883836)"
10800 TESLA RD,LIVERMORE,94550,13B,BATTERY ON PERSON,ACSO,"(37.65051501, -121.65972516)"
1100 BANCROFT AV,SAN LEANDRO,94577,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.72857763, -122.14846777)"
1100 ELGIN ST,SAN LORENZO,94578,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.6912773, -122.11120302)"
1100 ELGIN ST,SAN LORENZO,94580,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.69129264, -122.1133514)"
1100 E STANLEY BL,LIVERMORE,94550,13B,BATTERY W/SERIOUS BODILY INJURY,ACSO,"(37.67894555, -121.78206752)"
1100 GROVE WY,HAYWARD,94541,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.68140221, -122.09286743)"
1100 GROVE WY,HAYWARD,94541,13A,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,ACSO,"(37.68140221, -122.09286743)"
1100 GROVE WY,HAYWARD,94541,13B,BATTERY ON PERSON,ACSO,"(37.681806, -122.09239379)"
1100 KENTWOOD LA,SAN LORENZO,94580,13A,EXHIBIT FIREARM,ACSO,"(37.69394006, -122.11354376)"
1100 KENTWOOD LA,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.69264782, -122.11305284)"
1100 KENTWOOD LA,SAN LORENZO,94580,13A,ASSAULT WITH FIREARM ON PERSON,ACSO,"(37.69394006, -122.11354376)"
1100 KENTWOOD LA,SAN LORENZO,94580,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.69264782, -122.11305284)"
1100 KENTWOOD LA,SAN LORENZO,94580,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.69394006, -122.11354376)"
1100 KENTWOOD LA,SAN LORENZO,94580,09A,MURDER,ACSO,"(37.69394006, -122.11354376)"
1100 KENTWOOD LA,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.69394006, -122.11354376)"
1100 KENTWOOD LA,SAN LORENZO,94580,11D,SEXUAL BATTERY,ACSO,"(37.69394006, -122.11354376)"
1100 KENTWOOD LA,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.69394006, -122.11354376)"
1100 KENTWOOD LA,SAN LORENZO,94580,13A,FORCE OR ADW NOT FIREARM:GBI LIKELY,ACSO,"(37.69349686, -122.11327308)"
1100 KENTWOOD LA,SAN LORENZO,94580,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.69349686, -122.11327308)"
1100 KENTWOOD LA,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.69349686, -122.11327308)"
1100 KENTWOOD LA,SAN LORENZO,94580,13A,ATTEMPT MURDER,ACSO,"(37.69394006, -122.11354376)"
1100 KENTWOOD LA,SAN LORENZO,94580,09A,MURDER,ACSO,"(37.69394006, -122.11354376)"
1100 KENTWOOD LA,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.69416097, -122.11375005)"
1100 KENTWOOD LA,SAN LORENZO,94580,13B,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC,ACSO,"(37.69394006, -122.11354376)"
1100 VIA DOLOROSA,SAN LORENZO,94580,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.66620749, -122.12829233)"
1100 VIA LOS TRANCOS,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.66695006, -122.12896145)"
1100 VIA LOS TRANCOS,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.66694693, -122.12901676)"
1100 VIA LOS TRANCOS,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.66691609, -122.12910632)"
1200 ASH ST,HAYWARD,94541,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.68549243, -122.09472395)"
1200 ELGIN ST,SAN LORENZO,94578,100,KIDNAPPING,ACSO,"(37.69127729, -122.11111953)"
1200 FALLON ST,OAKLAND,94612,13B,BATTERY ON PERSON,ACSO,"(37.79972823, -122.26230957)"
1200 HAYS ST,SAN LEANDRO,94577,11A,RAPE BY FORCE/FEAR/ETC,ACSO,"(37.72493654, -122.15781042)"
1200 KENTWOOD LA,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.69295633, -122.11228593)"
1200 KENTWOOD LA,SAN LORENZO,94580,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.69255152, -122.11223406)"
1200 KENTWOOD LA,SAN LORENZO,94580,13B,BATTERY ON PERSON,ACSO,"(37.69255152, -122.11223406)"
1200 KENTWOOD LA,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.69255152, -122.11223406)"
1200 KENTWOOD LA,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.69264499, -122.11275963)"
1200 KENTWOOD LA,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.69264499, -122.11275963)"
1200 KENTWOOD LA,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.69335691, -122.11255561)"
1200 KENTWOOD LA,SAN LORENZO,94580,13A,FORCE OR ADW NOT FIREARM:GBI LIKELY,ACSO,"(37.69264499, -122.11275963)"
1200 KENTWOOD LA,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.69335691, -122.11255561)"
1200 KENTWOOD LA,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.69295633, -122.11228593)"
1200 KENTWOOD LA,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.69295633, -122.11228593)"
1200 KENTWOOD LA,SAN LORENZO,94580,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.69335691, -122.11255561)"
1200 KENTWOOD LA,SAN LORENZO,94580,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.69295633, -122.11228593)"
1200 KENTWOOD LA,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.69295633, -122.11228593)"
1200 KENTWOOD LA,SAN LORENZO,94580,11A,RAPE:VICTIM INCAPABLE OF GIVING CONSENT,ACSO,"(37.69335691, -122.11255561)"
1200 MATTOX RD,HAYWARD,94541,13B,BATTERY ON PERSON,ACSO,"(37.6867934, -122.09751856)"
1200 MATTOX RD,HAYWARD,94541,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.68680159, -122.09750535)"
1200 MATTOX RD,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.6867934, -122.09751856)"
1200 MATTOX RD,HAYWARD,94541,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.68680159, -122.09750535)"
1200 SANDY BRIDGES CT,HAYWARD,94541,13B,BATTERY W/SERIOUS BODILY INJURY,ACSO,"(37.68814671, -122.10034337)"
1200 VIA NUBE,SAN LORENZO,94580,100,FALSE IMPRISONMENT W/VIOLENCE/ETC,ACSO,"(37.66549822, -122.12863108)"
1200 VIA NUBE,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.66549822, -122.12863108)"
1200 VIA NUBE,SAN LORENZO,94580,13A,FORCE OR ADW NOT FIREARM:GBI LIKELY,ACSO,"(37.66549822, -122.12863108)"
1300 159TH AV,SAN LORENZO,94578,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.69906169, -122.12116204)"
1300 159TH AV,SAN LEANDRO,94578,09A,MURDER,ACSO,"(37.69908782, -122.12116114)"
1300 159TH AV,SAN LORENZO,94578,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.69911396, -122.12116024)"
1300 159TH AV,SAN LORENZO,94578,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.69911396, -122.12116024)"
1300 159TH AV,SAN LEANDRO,94578,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.6991401, -122.12115934)"
1300 159TH AV,SAN LEANDRO,94578,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.69903555, -122.12116293)"
1300 159TH AV,SAN LEANDRO,94578,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.69903555, -122.12116293)"
1300 159TH AV,SAN LORENZO,94578,13B,BATTERY ON PERSON,ACSO,"(37.69908782, -122.12116114)"
1300 159TH AV,SAN LEANDRO,94578,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.69908782, -122.12116114)"
1300 99TH AV,OAKLAND,94603,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.7431043, -122.17103006)"
1300 BOCKMAN RD,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.67015377, -122.13516108)"
1300 VIA EL MONTE,SAN LORENZO,94580,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.67376983, -122.13758022)"
1300 VIA LUCAS,SAN LORENZO,94580,13A,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,ACSO,"(37.67251178, -122.13630044)"
1300 VIA MANZANAS,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.67164723, -122.13618022)"
1300 VIA NUBE,SAN LORENZO,94580,13A,FORCE OR ADW NOT FIREARM:GBI LIKELY,ACSO,"(37.66530153, -122.13129068)"
1300 VIA NUBE,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.66530153, -122.13129068)"
1300 VIA VISTA,SAN LORENZO,94580,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.67463292, -122.13774635)"
1300 VIA VISTA,SAN LORENZO,94580,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.67463292, -122.13774635)"
1300 VIA VISTA,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.67463292, -122.13774635)"
1300 VIA VISTA,SAN LORENZO,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.67463292, -122.13774635)"
1300 VIA VISTA,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.67434748, -122.13852522)"
1300 VIA VISTA,SAN LORENZO,94580,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.67434748, -122.13852522)"
1300 VIA VISTA,SAN LORENZO,94580,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.67466914, -122.13765736)"
1300 VIA VISTA,SAN LORENZO,94580,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.67466914, -122.13765736)"
13800 E 14TH ST,SAN LEANDRO,94578,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.71442737, -122.14159136)"
13800 E 14TH ST,SAN LEANDRO,94578,13B,BATTERY W/SERIOUS BODILY INJURY,ACSO,"(37.71442737, -122.14159136)"
13800 E 14TH ST,SAN LEANDRO,94578,13B,BATTERY W/SERIOUS BODILY INJURY,ACSO,"(37.71442737, -122.14159136)"
13800 E 14TH ST,SAN LEANDRO,94578,11A,RAPE:SPOUSE UNCONSCIOUS OF NATURE OF ACT,ACSO,"(37.71442737, -122.14159136)"
13800 E 14TH ST,SAN LEANDRO,94578,13A,FORCE OR ADW NOT FIREARM:GBI LIKELY,ACSO,"(37.71442737, -122.14159136)"
13800 E 14TH ST,SAN LEANDRO,94578,13A,FORCE OR ADW NOT FIREARM:GBI LIKELY,ACSO,"(37.71442737, -122.14159136)"
13800 E 14TH ST,SAN LEANDRO,94578,13B,BATTERY ON PERSON,ACSO,"(37.71451902, -122.14171997)"
1400 150TH AV,SAN LEANDRO,94578,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.70642712, -122.12839345)"
1400 150TH AV,SAN LEANDRO,94578,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.70647606, -122.12833093)"
1400 150TH AV,SAN LEANDRO,94578,13A,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,ACSO,"(37.70642712, -122.12839345)"
1400 150TH AV,SAN LEANDRO,94578,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.70642712, -122.12839345)"
1400 150TH AV,SAN LEANDRO,,11D,LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS,ACSO,"(37.70642712, -122.12839345)"
1400 150TH AV,SAN LEANDRO,94578,13A,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,ACSO,"(37.70642712, -122.12839345)"
1400 151ST AV,SAN LEANDRO,94578,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.70562882, -122.12663253)"
1400 152ND AV,SAN LEANDRO,94578,13B,WILLFUL CRUELTY TO CHILD,ACSO,"(37.70505656, -122.12608646)"
1400 153RD AV,SAN LEANDRO,94578,13B,BATTERY ON PERSON,ACSO,"(37.70447584, -122.12566377)"
1400 153RD AV,SAN LEANDRO,94578,13A,FORCE OR ADW NOT FIREARM:GBI LIKELY,ACSO,"(37.70447584, -122.12566377)"
1400 153RD AV,SAN LEANDRO,94578,13B,BATTERY ON PERSON,ACSO,"(37.70447584, -122.12566377)"
1400 153RD AV,SAN LEANDRO,94578,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.70449371, -122.12559044)"
1400 153RD AV,SAN LEANDRO,94578,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.70482006, -122.1252273)"
1400 153RD AV,SAN LEANDRO,94578,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.70458613, -122.12547296)"
1400 153RD AV,SAN LEANDRO,94578,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,ACSO,"(37.70447584, -122.12566377)"
1400 162ND AV,SAN LEANDRO,94578,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,ACSO,"(37.69883574, -122.11531169)"
